business_name,category,phone,address,website,notes
Spa at Torrey Pines,Spa/Wellness,+18584534420,"11480 N Torrey Pines Rd, La Jolla, CA 92037",lodgetorreypines.com/spa,Full-service luxury spa
La Jolla Spa MD,Spa/Wellness,+18584561000,"1111 Prospect St, La Jolla, CA 92037",lajollaspamd.com,Medical spa and wellness
Koda Salon,Salon/Beauty,+18584595632,"7843 Girard Ave Ste C, La Jolla, CA 92037",kodasalon.com,Hair salon
La Jolla Beauty Salon,Salon/Beauty,+18584549900,"7636 Girard Ave, La Jolla, CA 92037",lajollabeautysalon.com,Full service beauty salon
Alessandro Hair Salon,Salon/Beauty,+16193157185,"7660 Fay Ave, La Jolla, CA 92037",alessandrosalonlajolla.com,Hair care and styling
Bella Salon,Salon/Beauty,+18587562220,"2182 Avenida De La Playa Ste B, La Jolla, CA 92037",,Haircuts and organic color
The Boulevard Salon,Salon/Beauty,+18582455201,"7527 La Jolla Blvd #3, La Jolla, CA 92037",boulevardbyljsteph.com,Hair salon
Ashen Salon,Salon/Beauty,+18584561234,"6903 La Jolla Blvd, La Jolla, CA 92037",ashensalon.com,Premier hair salon
Pilates of La Jolla,Fitness,+18588318669,"7556 Fay Ave Ste I, La Jolla, CA 92037",pilatesoflajolla.com,Pilates studio
Club Pilates La Jolla,Fitness,+18588867066,"8657 Villa La Jolla Dr Ste 125, La Jolla, CA 92037",clubpilates.com,Reformer Pilates studio
The Perfect Workout,Fitness,+18587299901,"7730 Herschel Ave Ste I, La Jolla, CA 92037",theperfectworkout.com,Personal training studio
Surf Diva,Surf/Beach,+18584548273,"2160 Avenida De La Playa, La Jolla, CA 92037",surfdiva.com,Surf school and shop
La Jolla Kayak,Recreation,+18584591114,"2199 Avenida De La Playa, La Jolla, CA 92037",lajollakayak.com,Kayak tours and rentals
Bird Rock Coffee Roasters,Coffee,+18585511707,"5627 La Jolla Blvd, La Jolla, CA 92037",birdrockcoffee.com,Specialty coffee roaster
Girard Gourmet,Bakery/Cafe,+18584543325,"7837 Girard Ave, La Jolla, CA 92037",girardgourmet.com,Bakery and gourmet food
The Living Room Coffeehouse,Coffee,+18584591187,"1010 Prospect St, La Jolla, CA 92037",,Coffee and dessert cafe
Thumbprint Gallery,Art Gallery,+18585440143,"920 Kline St, La Jolla, CA 92037",thumbprintgallery.com,Contemporary art gallery
Madison Gallery,Art Gallery,+18584598707,"1055 Wall St, La Jolla, CA 92037",madisongalleries.com,Fine art gallery
Quint Gallery,Art Gallery,+18584543409,"7547 Girard Ave, La Jolla, CA 92037",quintgallery.com,Contemporary art gallery
La Jolla Wine & Spirits,Wine/Spirits,+18584541700,"703 Pearl St, La Jolla, CA 92037",,Wine and spirits shop
Cups La Jolla,Restaurant/Bar,+18584597330,"7857 Girard Ave, La Jolla, CA 92037",cupslajolla.com,Casual dining
Goldfish Point Cafe,Restaurant,+18584596040,"1255 Coast Blvd, La Jolla, CA 92037",,Cafe with ocean view
Sola Salon Studios,Salon/Beauty,+18585317277,"5726 La Jolla Blvd, La Jolla, CA 92037",solasalonstudios.com,Salon suite rentals
Charlie's Girl Hair and Spa,Salon/Beauty,+18584547554,"737 Pearl St Ste 112, La Jolla, CA 92037",,Hair salon and spa
La Jolla Florist,Florist,+18584593515,"7530 Fay Ave, La Jolla, CA 92037",,Local flower shop
El Pescador Fish Market,Restaurant,+18584562526,"634 Pearl St, La Jolla, CA 92037",elpescadorfishmarket.com,Fresh seafood market and restaurant
Frosted Cupcakery,Bakery,+18585510624,"7536 Fay Ave, La Jolla, CA 92037",,Cupcake bakery
Platform Lagree,Fitness,+18584591234,"7712 Fay Ave, La Jolla, CA 92037",platformlagree.com,Lagree fitness studio
Cleo Skincare and Sugaring,Spa/Wellness,+18584120698,"5514 La Jolla Blvd #1/2, La Jolla, CA 92037",,Skincare and waxing
